tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_R,Pre_L,Pre_Q
15,250,350,24,15,6,100.0,2524.061,5.176639,1.28863
15,200,100,24,20,2,1.0,9.527543,6.0709724,4.00366
15,200,100,24,20,2,25.25,86.06574,6.233804,11.4911585
15,200,100,24,20,2,50.5,285.82568,6.0300055,6.6940327
15,200,100,24,20,2,75.75,546.90283,5.8349414,5.077956
15,200,100,24,20,2,100.0,813.85693,5.594892,4.3194027
15,200,250,24,20,2,1.0,11.008,12.749765,7.2773566
15,200,250,24,20,2,25.25,569.99817,9.911738,2.7587829
15,200,250,24,20,2,50.5,1281.3955,7.2818937,1.803152
15,200,250,24,20,2,75.75,1880.3079,5.9713492,1.511493
15,200,250,24,20,2,100.0,2237.4634,5.4390955,1.5273932
15,250,350,8,10,6,1.0,7.8171945,7.0169644,5.6399884
15,250,350,8,10,6,25.25,145.7155,6.5778894,7.1617937
15,250,350,8,10,6,50.5,433.83896,6.386513,4.6709642
15,250,350,8,10,6,75.75,754.80725,6.063706,3.823532
15,250,350,8,10,6,100.0,1063.5128,5.70044,3.3677948
15,250,150,12,10,4,1.0,7.433896,5.625176,4.754441
15,250,150,12,10,4,25.25,71.034485,5.491999,12.265982
15,250,150,12,10,4,50.5,234.46802,5.208141,7.048072
15,250,150,12,10,4,75.75,432.96555,5.1881194,5.703207
15,250,150,12,10,4,100.0,630.6112,5.1314526,5.1127954
15,200,150,16,10,4,1.0,9.470641,7.6086273,5.047854
15,200,150,16,10,4,25.25,172.23709,7.061745,6.5046854
15,200,150,16,10,4,50.5,481.4926,6.688245,4.4075155
15,200,150,16,10,4,75.75,794.2999,6.2926736,3.7706237
15,200,150,16,10,4,100.0,1085.5519,5.8930283,3.4108922
15,250,150,8,25,4,1.0,7.570489,3.7053518,3.075285
15,250,150,8,25,4,25.25,20.485815,3.50659,27.156435
15,250,150,8,25,4,50.5,44.01383,3.5994904,25.94915
15,250,150,8,25,4,75.75,84.306435,3.5872316,20.25169
15,250,150,8,25,4,100.0,138.42587,3.5767794,16.235094
20,250,350,12,25,6,1.0,5.987449,8.268925,8.677349
20,250,350,12,25,6,25.25,231.95807,7.9857326,5.4619346
20,250,350,12,25,6,50.5,718.81384,6.938336,3.062741
20,250,350,12,25,6,75.75,1252.6428,5.9804106,2.2723036
20,250,350,12,25,6,100.0,1674.4502,5.4493003,2.0447884
15,200,150,8,25,2,1.0,9.844096,3.9192183,2.5015168
15,200,150,8,25,2,25.25,25.938236,3.7140443,22.716827
15,200,150,8,25,2,50.5,53.501102,3.7554882,22.272808
15,200,150,8,25,2,75.75,99.14244,3.7075853,17.79894
15,200,150,8,25,2,100.0,159.56207,3.669573,14.449937
15,250,150,8,30,2,1.0,8.30328,3.6046038,2.7276447
15,250,150,8,30,2,25.25,20.630024,3.4052856,26.187555
15,250,150,8,30,2,50.5,42.08878,3.4929123,26.33253
15,250,150,8,30,2,75.75,77.831825,3.4791017,21.275145
15,250,150,8,30,2,100.0,126.04121,3.4595923,17.24616
20,250,100,12,30,4,1.0,5.28974,3.4619732,4.1121526
20,250,100,12,30,4,25.25,13.948396,3.179293,36.161587
20,250,100,12,30,4,50.5,29.61679,3.3131998,35.49613
20,250,100,12,30,4,75.75,57.48087,3.339529,27.651863
20,250,100,12,30,4,100.0,95.96261,3.3598912,21.999004
15,200,250,8,30,2,1.0,10.249174,5.0159245,3.0749779
15,200,250,8,30,2,25.25,50.826748,4.852442,15.146391
15,200,250,8,30,2,50.5,138.44945,4.8190007,11.04427
15,200,250,8,30,2,75.75,284.65924,4.6886277,7.839402
15,200,250,8,30,2,100.0,464.98135,4.5678444,6.1724243
10,250,350,8,20,8,1.0,11.272083,6.0248313,3.3583086
10,250,350,8,20,8,25.25,104.220375,6.319026,9.61919
10,250,350,8,20,8,50.5,343.07834,6.070327,5.6142282
10,250,350,8,20,8,75.75,670.61835,5.689696,4.0380926
10,250,350,8,20,8,100.0,1001.0831,5.360516,3.3644674
15,200,100,12,20,8,1.0,9.503645,3.976899,2.6292646
15,200,100,12,20,8,25.25,25.643963,3.8520284,23.831173
15,200,100,12,20,8,50.5,57.309574,3.8274488,21.1911
15,200,100,12,20,8,75.75,111.21798,3.7426019,16.016268
15,200,100,12,20,8,100.0,179.75153,3.710625,12.970429
15,200,350,12,20,8,1.0,9.488729,8.809401,5.833353
15,200,350,12,20,8,25.25,282.0853,8.335633,4.688126
15,200,350,12,20,8,50.5,780.49316,7.221839,2.9359596
15,200,350,12,20,8,75.75,1306.8589,6.1754484,2.2490668
15,200,350,12,20,8,100.0,1719.5325,5.5923696,2.043457
